Key_Field,Source_Key,Policy_Date,Policy_Year,Policy_Month,Policy_Quarter,Domicile_Country,PolicyHolder_name,Country_Origin,Product_Descr,Branch,Country_Office,Broker,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,Industry,LOB,Big_Policy_Ind,Source,Cross_Product,SUB_LOB1,SUB_LOB2,PremiumAmount,LossAmount,Loss_Cnt,Loss_Cntgt0,Loss_Cntgt1000,LossRatio,Linkage1,Linkage2,Linkage3
1510,Name1510Source1,2/18/2015,2015,2,Q1,GB,Name1510,GB,PRODUCT1208,BRANCH1,USA,BROKER10,Yes,A,Yes,No,Yes,No,Industry110,LOB4,Yes,Source1,P5,,,31000,0,0,0,0,0,1,1,0
1511,Name1511Source2,2/19/2015,2015,2,Q1,CHN,Name1511,CHN,,BRANCH2,GB,BROKER11,No,B,Yes,Yes,Yes,No,Industry111,LOB5,No,Source2,P6,,,31100,0,0,0,0,0,1,1,0
1512,Name1512Source3,2/20/2015,2015,2,Q1,IRE,Name1512,IRE,PRODUCT1209,BRANCH3,SGP,BROKER12,No,B,No,No,No,Yes,Industry112,LOB6,No,Source3,P7,,,31200,0,0,0,0,0,1,1,0
1513,Name1513Source1,2/21/2015,2015,2,Q1,SPN,Name1513,SPN,PRODUCT1210,BRANCH1,USA,BROKER13,Yes,A,Yes,No,Yes,No,Industry113,LOB1,Yes,Source1,P1,L109,,31300,0,0,0,0,0,1,1,0
1514,Name1514Source2,2/22/2015,2015,2,Q1,ITA,Name1514,ITA,PRODUCT1211,BRANCH2,GB,BROKER14,No,B,Yes,No,Yes,No,Industry114,LOB2,No,Source2,P2,,L110,31400,0,0,0,0,0,1,1,0
1515,Name1515Source3,2/23/2015,2015,2,Q1,GER,Name1515,GER,PRODUCT1212,BRANCH3,SGP,BROKER15,No,B,No,No,Yes,No,Industry115,LOB3,No,Source3,P3,,,31500,0,0,0,0,0,1,1,0
1516,Name1516Source1,2/24/2015,2015,2,Q1,AUS,Name1516,AUS,,BRANCH1,USA,BROKER16,Yes,A,Yes,Yes,No,No,Industry116,LOB4,Yes,Source1,P4,,,31600,0,0,0,0,0,1,1,0
1517,Name1517Source2,2/25/2015,2015,2,Q1,UAE,Name1517,UAE,PRODUCT1213,BRANCH2,GB,BROKER17,No,B,Yes,No,Yes,No,Industry117,LOB5,No,Source2,P5,,,31700,0,0,0,0,0,1,1,0
1518,Name1518Source3,2/26/2015,2015,2,Q1,SGP,Name1518,SGP,PRODUCT1214,BRANCH3,SGP,BROKER18,No,B,No,No,Yes,Yes,Industry118,LOB6,No,Source3,P6,,,31800,800,1,1,0,0.025157233,1,1,0
1519,Name1519Source1,2/27/2015,2015,2,Q1,MEX,Name1519,MEX,PRODUCT1215,BRANCH1,USA,BROKER19,Yes,A,Yes,No,Yes,No,Industry119,LOB1,Yes,Source1,P7,,,31900,900,1,1,0,0.028213166,1,1,0
1520,Name1520Source2,2/28/2015,2015,2,Q1,CAN,Name1520,CAN,PRODUCT1216,BRANCH2,GB,BROKER20,No,B,Yes,No,No,No,Industry120,LOB2,No,Source2,P1,L109,,32000,1200,5,1,1,0.0375,1,1,0
1521,Name1521Source3,3/1/2015,2015,3,Q1,FRA,Name1521,FRA,,BRANCH3,SGP,BROKER21,No,B,No,Yes,Yes,No,Industry121,LOB3,No,Source3,P2,,L110,32100,40000,10,1,1,1.246105919,1,1,0
1522,Name1522Source1,3/2/2015,2015,3,Q1,USA,Name1522,USA,PRODUCT1217,BRANCH1,USA,BROKER22,Yes,A,Yes,No,Yes,No,Industry122,LOB4,Yes,Source1,P3,,,32200,0,0,0,0,0,1,1,0
1523,Name1523Source2,3/3/2015,2015,3,Q1,GB,Name1523,GB,PRODUCT1218,BRANCH2,GB,BROKER23,No,B,Yes,No,Yes,No,Industry123,LOB5,No,Source2,P4,,,32300,0,0,0,0,0,1,1,0
1524,Name1524Source3,3/4/2015,2015,3,Q1,CHN,Name1524,CHN,PRODUCT1219,BRANCH3,SGP,BROKER24,No,B,No,No,No,Yes,Industry124,LOB6,No,Source3,P5,,,32400,0,0,0,0,0,1,1,0
1525,Name1525Source1,3/5/2015,2015,3,Q1,IRE,Name1525,IRE,PRODUCT1220,BRANCH1,USA,BROKER25,Yes,A,Yes,No,Yes,No,Industry125,LOB1,Yes,Source1,P6,,,32500,0,0,0,0,0,1,1,0
1526,Name1526Source2,3/6/2015,2015,3,Q1,SPN,Name1526,SPN,,BRANCH2,GB,BROKER1,No,B,Yes,Yes,Yes,No,Industry126,LOB2,No,Source2,P7,,,32600,0,0,0,0,0,1,1,0
1527,Name1527Source3,3/7/2015,2015,3,Q1,ITA,Name1527,ITA,PRODUCT1221,BRANCH3,SGP,BROKER2,No,B,No,No,Yes,No,Industry1,LOB3,No,Source3,P1,L110,,32700,0,0,0,0,0,1,1,0
1528,Name1528Source1,3/8/2015,2015,3,Q1,GER,Name1528,GER,PRODUCT1222,BRANCH1,USA,BROKER3,Yes,A,Yes,No,No,No,Industry2,LOB4,Yes,Source1,P2,,L111,32800,0,0,0,0,0,1,1,0
1529,Name1529Source2,3/9/2015,2015,3,Q1,AUS,Name1529,AUS,PRODUCT1223,BRANCH2,GB,BROKER4,No,B,Yes,No,Yes,No,Industry1,LOB5,No,Source2,P3,,,32900,0,0,0,0,0,1,1,0
1530,Name1530Source3,3/10/2015,2015,3,Q1,UAE,Name1530,UAE,PRODUCT1224,BRANCH3,SGP,BROKER5,No,B,No,No,Yes,Yes,Industry2,LOB6,No,Source3,P4,,,33000,0,0,0,0,0,1,1,0
1531,Name1531Source1,3/11/2015,2015,3,Q1,SGP,Name1531,SGP,,BRANCH1,USA,BROKER6,Yes,A,Yes,Yes,Yes,No,Industry3,LOB1,Yes,Source1,P5,,,33100,800,1,1,0,0.024169184,1,1,0
1532,Name1532Source2,3/12/2015,2015,3,Q1,MEX,Name1532,MEX,PRODUCT1225,BRANCH2,GB,BROKER7,No,B,Yes,No,No,No,Industry4,LOB2,No,Source2,P6,,,33200,900,1,1,0,0.027108434,1,1,0
1533,Name1533Source3,3/13/2015,2015,3,Q1,CAN,Name1533,CAN,PRODUCT1226,BRANCH3,SGP,BROKER8,No,B,No,No,Yes,No,Industry5,LOB3,No,Source3,P7,,,33300,1200,5,1,1,0.036036036,1,1,0
1534,Name1534Source1,3/14/2015,2015,3,Q1,FRA,Name1534,FRA,PRODUCT1227,BRANCH1,USA,BROKER9,Yes,A,Yes,No,Yes,No,Industry6,LOB4,Yes,Source1,P1,L110,,33400,40000,10,1,1,1.19760479,1,1,0
1535,Name1535Source2,3/15/2015,2015,3,Q1,USA,Name1535,USA,PRODUCT1228,BRANCH2,GB,BROKER10,No,B,Yes,No,Yes,No,Industry7,LOB5,No,Source2,P2,,L111,33500,0,0,0,0,0,1,1,0
1536,Name1536Source3,3/16/2015,2015,3,Q1,GB,Name1536,GB,,BRANCH3,SGP,BROKER11,No,B,No,Yes,No,Yes,Industry8,LOB6,No,Source3,P3,,,33600,0,0,0,0,0,1,1,0
1537,Name1537Source1,3/17/2015,2015,3,Q1,CHN,Name1537,CHN,PRODUCT1229,BRANCH1,USA,BROKER12,Yes,A,Yes,No,Yes,No,Industry9,LOB1,Yes,Source1,P4,,,33700,0,0,0,0,0,1,1,0
1538,Name1538Source2,3/18/2015,2015,3,Q1,IRE,Name1538,IRE,PRODUCT1230,BRANCH2,GB,BROKER13,No,B,Yes,No,Yes,No,Industry10,LOB2,No,Source2,P5,,,33800,0,0,0,0,0,1,1,0
1539,Name1539Source3,3/19/2015,2015,3,Q1,SPN,Name1539,SPN,PRODUCT1231,BRANCH3,SGP,BROKER14,No,B,No,No,Yes,No,Industry11,LOB3,No,Source3,P6,,,33900,0,0,0,0,0,1,1,0
1540,Name1540Source1,3/20/2015,2015,3,Q1,ITA,Name1540,ITA,PRODUCT1232,BRANCH1,USA,BROKER15,Yes,A,Yes,No,No,No,Industry12,LOB4,Yes,Source1,P7,,,34000,0,0,0,0,0,1,1,0
1541,Name1541Source2,3/21/2015,2015,3,Q1,GER,Name1541,GER,,BRANCH2,GB,BROKER16,No,B,Yes,Yes,Yes,No,Industry13,LOB5,No,Source2,P1,L111,,34100,0,0,0,0,0,1,1,0
1542,Name1542Source3,3/22/2015,2015,3,Q1,AUS,Name1542,AUS,PRODUCT1233,BRANCH3,SGP,BROKER17,No,B,No,No,Yes,Yes,Industry14,LOB6,No,Source3,P2,,L112,34200,0,0,0,0,0,1,1,0
1543,Name1543Source1,3/23/2015,2015,3,Q1,UAE,Name1543,UAE,PRODUCT1234,BRANCH1,USA,BROKER18,Yes,A,Yes,No,Yes,No,Industry15,LOB1,Yes,Source1,P3,,,34300,0,0,0,0,0,1,1,0
1544,Name1544Source2,3/24/2015,2015,3,Q1,SGP,Name1544,SGP,PRODUCT1235,BRANCH2,GB,BROKER19,No,B,Yes,No,No,No,Industry16,LOB2,No,Source2,P4,,,34400,800,1,1,0,0.023255814,1,1,0
1545,Name1545Source3,3/25/2015,2015,3,Q1,MEX,Name1545,MEX,PRODUCT1236,BRANCH3,SGP,BROKER20,No,B,No,No,Yes,No,Industry17,LOB3,No,Source3,P5,,,34500,900,1,1,0,0.026086957,1,1,0
1546,Name1546Source1,3/26/2015,2015,3,Q1,CAN,Name1546,CAN,,BRANCH1,USA,BROKER21,Yes,A,Yes,Yes,Yes,No,Industry18,LOB4,Yes,Source1,P6,,,34600,1200,5,1,1,0.034682081,1,1,0
1547,Name1547Source2,3/27/2015,2015,3,Q1,FRA,Name1547,FRA,PRODUCT1237,BRANCH2,GB,BROKER22,No,B,Yes,No,Yes,No,Industry19,LOB5,No,Source2,P7,,,34700,40000,10,1,1,1.152737752,1,1,0
1548,Name1548Source3,3/28/2015,2015,3,Q1,USA,Name1548,USA,PRODUCT1238,BRANCH3,SGP,BROKER23,No,B,No,No,No,Yes,Industry20,LOB6,No,Source3,P1,L111,,34800,0,0,0,0,0,1,1,0
1549,Name1549Source1,3/29/2015,2015,3,Q1,GB,Name1549,GB,PRODUCT1239,BRANCH1,USA,BROKER24,Yes,A,Yes,No,Yes,No,Industry21,LOB1,Yes,Source1,P2,,L112,34900,0,0,0,0,0,1,1,0
1550,Name1550Source2,3/30/2015,2015,3,Q1,CHN,Name1550,CHN,PRODUCT1240,BRANCH2,GB,BROKER25,No,B,Yes,No,Yes,No,Industry22,LOB2,No,Source2,P3,,,35000,0,0,0,0,0,1,1,0
1551,Name1551Source3,3/31/2015,2015,3,Q1,IRE,Name1551,IRE,,BRANCH3,SGP,BROKER1,No,B,No,Yes,Yes,No,Industry23,LOB3,No,Source3,P4,,,35100,0,0,0,0,0,1,1,0
1552,Name1552Source1,4/1/2015,2015,4,Q2,SPN,Name1552,SPN,PRODUCT1241,BRANCH1,USA,BROKER2,Yes,A,Yes,No,No,No,Industry24,LOB4,Yes,Source1,P5,,,35200,0,0,0,0,0,1,1,0
1553,Name1553Source2,4/2/2015,2015,4,Q2,ITA,Name1553,ITA,PRODUCT1242,BRANCH2,GB,BROKER3,No,B,Yes,No,Yes,No,Industry25,LOB5,No,Source2,P6,,,35300,0,0,0,0,0,1,1,0
1554,Name1554Source3,4/3/2015,2015,4,Q2,GER,Name1554,GER,PRODUCT1243,BRANCH3,SGP,BROKER4,No,B,No,No,Yes,Yes,Industry26,LOB6,No,Source3,P7,,,35400,0,0,0,0,0,1,1,0
1555,Name1555Source1,4/4/2015,2015,4,Q2,AUS,Name1555,AUS,PRODUCT1244,BRANCH1,USA,BROKER5,Yes,A,Yes,No,Yes,No,Industry27,LOB1,Yes,Source1,P1,L112,,35500,0,0,0,0,0,1,1,0
1556,Name1556Source2,4/5/2015,2015,4,Q2,UAE,Name1556,UAE,,BRANCH2,GB,BROKER6,No,B,Yes,Yes,No,No,Industry28,LOB2,No,Source2,P2,,L113,35600,0,0,0,0,0,1,1,0
1557,Name1557Source3,4/6/2015,2015,4,Q2,SGP,Name1557,SGP,PRODUCT1245,BRANCH3,SGP,BROKER7,No,B,No,No,Yes,No,Industry29,LOB3,No,Source3,P3,,,35700,800,1,1,0,0.022408964,1,1,0
1558,Name1558Source1,4/7/2015,2015,4,Q2,MEX,Name1558,MEX,PRODUCT1246,BRANCH1,USA,BROKER8,Yes,A,Yes,No,Yes,No,Industry30,LOB4,Yes,Source1,P4,,,35800,900,1,1,0,0.025139665,1,1,0
1559,Name1559Source2,4/8/2015,2015,4,Q2,CAN,Name1559,CAN,PRODUCT1247,BRANCH2,GB,BROKER9,No,B,Yes,No,Yes,No,Industry31,LOB5,No,Source2,P5,,,35900,1200,5,1,1,0.033426184,1,1,0
1560,Name1560Source3,4/9/2015,2015,4,Q2,FRA,Name1560,FRA,PRODUCT1248,BRANCH3,SGP,BROKER10,No,B,No,No,No,Yes,Industry32,LOB6,No,Source3,P6,,,36000,40000,10,1,1,1.111111111,1,1,0
1561,Name1561Source1,4/10/2015,2015,4,Q2,USA,Name1561,USA,,BRANCH1,USA,BROKER11,Yes,A,Yes,Yes,Yes,No,Industry33,LOB1,Yes,Source1,P7,,,36100,0,0,0,0,0,1,1,0
1562,Name1562Source2,4/11/2015,2015,4,Q2,GB,Name1562,GB,PRODUCT1249,BRANCH2,GB,BROKER12,No,B,Yes,No,Yes,No,Industry34,LOB2,No,Source2,P1,L112,,36200,0,0,0,0,0,1,1,0
1563,Name1563Source3,4/12/2015,2015,4,Q2,CHN,Name1563,CHN,PRODUCT1250,BRANCH3,SGP,BROKER13,No,B,No,No,Yes,No,Industry35,LOB3,No,Source3,P2,,L113,36300,0,0,0,0,0,1,1,0
1564,Name1564Source1,4/13/2015,2015,4,Q2,IRE,Name1564,IRE,PRODUCT1251,BRANCH1,USA,BROKER14,Yes,A,Yes,No,No,No,Industry36,LOB4,Yes,Source1,P3,,,36400,0,0,0,0,0,1,1,0
1565,Name1565Source2,4/14/2015,2015,4,Q2,SPN,Name1565,SPN,PRODUCT1252,BRANCH2,GB,BROKER15,No,B,Yes,No,Yes,No,Industry37,LOB5,No,Source2,P4,,,36500,0,0,0,0,0,1,1,0
1566,Name1566Source3,4/15/2015,2015,4,Q2,ITA,Name1566,ITA,,BRANCH3,SGP,BROKER16,No,B,No,Yes,Yes,Yes,Industry38,LOB6,No,Source3,P5,,,36600,0,0,0,0,0,1,1,0
1567,Name1567Source1,4/16/2015,2015,4,Q2,GER,Name1567,GER,PRODUCT1253,BRANCH1,USA,BROKER17,Yes,A,Yes,No,Yes,No,Industry39,LOB1,Yes,Source1,P6,,,36700,0,0,0,0,0,1,1,0
1568,Name1568Source2,4/17/2015,2015,4,Q2,AUS,Name1568,AUS,PRODUCT1254,BRANCH2,GB,BROKER18,No,B,Yes,No,No,No,Industry40,LOB2,No,Source2,P7,,,36800,0,0,0,0,0,1,1,0
1569,Name1569Source3,4/18/2015,2015,4,Q2,UAE,Name1569,UAE,PRODUCT1255,BRANCH3,SGP,BROKER19,No,B,No,No,Yes,No,Industry41,LOB3,No,Source3,P1,L113,,36900,0,0,0,0,0,1,1,0
1570,Name1570Source1,4/19/2015,2015,4,Q2,SGP,Name1570,SGP,PRODUCT1256,BRANCH1,USA,BROKER20,Yes,A,Yes,No,Yes,No,Industry42,LOB4,Yes,Source1,P2,,L114,37000,800,1,1,0,0.021621622,1,1,0
1571,Name1571Source2,4/20/2015,2015,4,Q2,MEX,Name1571,MEX,,BRANCH2,GB,BROKER21,No,B,Yes,Yes,Yes,No,Industry43,LOB5,No,Source2,P3,,,37100,900,1,1,0,0.02425876,1,1,0
1572,Name1572Source3,4/21/2015,2015,4,Q2,CAN,Name1572,CAN,PRODUCT1257,BRANCH3,SGP,BROKER22,No,B,No,No,No,Yes,Industry44,LOB6,No,Source3,P4,,,37200,1200,5,1,1,0.032258065,1,1,0
1573,Name1573Source1,4/22/2015,2015,4,Q2,FRA,Name1573,FRA,PRODUCT1258,BRANCH1,USA,BROKER23,Yes,A,Yes,No,Yes,No,Industry45,LOB1,Yes,Source1,P5,,,37300,40000,10,1,1,1.072386059,1,1,0
1574,Name1574Source2,4/23/2015,2015,4,Q2,USA,Name1574,USA,PRODUCT1259,BRANCH2,GB,BROKER24,No,B,Yes,No,Yes,No,Industry46,LOB2,No,Source2,P6,,,37400,0,0,0,0,0,1,1,0
1575,Name1575Source3,4/24/2015,2015,4,Q2,GB,Name1575,GB,PRODUCT1260,BRANCH3,SGP,BROKER25,No,B,No,No,Yes,No,Industry47,LOB3,No,Source3,P7,,,37500,0,0,0,0,0,1,1,0
1576,Name1576Source1,4/25/2015,2015,4,Q2,CHN,Name1576,CHN,,BRANCH1,USA,BROKER1,Yes,A,Yes,Yes,No,No,Industry48,LOB4,Yes,Source1,P1,L113,,37600,0,0,0,0,0,1,1,0
1577,Name1577Source2,4/26/2015,2015,4,Q2,IRE,Name1577,IRE,PRODUCT1261,BRANCH2,GB,BROKER2,No,B,Yes,No,Yes,No,Industry49,LOB5,No,Source2,P2,,L114,37700,0,0,0,0,0,1,1,0
1578,Name1578Source3,4/27/2015,2015,4,Q2,SPN,Name1578,SPN,PRODUCT1262,BRANCH3,SGP,BROKER3,No,B,No,No,Yes,Yes,Industry50,LOB6,No,Source3,P3,,,37800,0,0,0,0,0,1,1,0
1579,Name1579Source1,4/28/2015,2015,4,Q2,ITA,Name1579,ITA,PRODUCT1263,BRANCH1,USA,BROKER4,Yes,A,Yes,No,Yes,No,Industry51,LOB1,Yes,Source1,P4,,,37900,0,0,0,0,0,1,1,0
1580,Name1580Source2,4/29/2015,2015,4,Q2,GER,Name1580,GER,PRODUCT1264,BRANCH2,GB,BROKER5,No,B,Yes,No,No,No,Industry52,LOB2,No,Source2,P5,,,38000,0,0,0,0,0,1,1,0
1581,Name1581Source3,4/30/2015,2015,4,Q2,AUS,Name1581,AUS,,BRANCH3,SGP,BROKER6,No,B,No,Yes,Yes,No,Industry53,LOB3,No,Source3,P6,,,38100,0,0,0,0,0,1,1,0
1582,Name1582Source1,5/1/2015,2015,5,Q2,UAE,Name1582,UAE,PRODUCT1265,BRANCH1,USA,BROKER7,Yes,A,Yes,No,Yes,No,Industry54,LOB4,Yes,Source1,P7,,,38200,0,0,0,0,0,0,1,0
1583,Name1583Source2,5/2/2015,2015,5,Q2,SGP,Name1583,SGP,PRODUCT1266,BRANCH2,GB,BROKER8,No,B,Yes,No,Yes,No,Industry55,LOB5,No,Source2,P1,L114,,38300,800,1,1,0,0.020887728,0,1,0
1584,Name1584Source3,5/3/2015,2015,5,Q2,MEX,Name1584,MEX,PRODUCT1267,BRANCH3,SGP,BROKER9,No,B,No,No,No,Yes,Industry56,LOB6,No,Source3,P2,,L115,38400,900,1,1,0,0.0234375,0,1,0
1585,Name1585Source1,5/4/2015,2015,5,Q2,CAN,Name1585,CAN,PRODUCT1268,BRANCH1,USA,BROKER10,Yes,A,Yes,No,Yes,No,Industry57,LOB1,Yes,Source1,P3,,,38500,1200,5,1,1,0.031168831,0,1,0
1586,Name1586Source2,5/5/2015,2015,5,Q2,FRA,Name1586,FRA,,BRANCH2,GB,BROKER11,No,B,Yes,Yes,Yes,No,Industry58,LOB2,No,Source2,P4,,,38600,40000,10,1,1,1.03626943,0,1,0
1587,Name1587Source3,5/6/2015,2015,5,Q2,USA,Name1587,USA,PRODUCT1269,BRANCH3,SGP,BROKER12,No,B,No,No,Yes,No,Industry59,LOB3,No,Source3,P5,,,38700,0,0,0,0,0,0,1,0
1588,Name1588Source1,5/7/2015,2015,5,Q2,GB,Name1588,GB,PRODUCT1270,BRANCH1,USA,BROKER13,Yes,A,Yes,No,No,No,Industry60,LOB4,Yes,Source1,P6,,,38800,0,0,0,0,0,0,1,0
1589,Name1589Source2,5/8/2015,2015,5,Q2,CHN,Name1589,CHN,PRODUCT1271,BRANCH2,GB,BROKER14,No,B,Yes,No,Yes,No,Industry61,LOB5,No,Source2,P7,,,38900,0,0,0,0,0,0,1,0
1590,Name1590Source3,5/9/2015,2015,5,Q2,IRE,Name1590,IRE,PRODUCT1272,BRANCH3,SGP,BROKER15,No,B,No,No,Yes,Yes,Industry62,LOB6,No,Source3,P1,L114,,39000,0,0,0,0,0,0,1,0
1591,Name1591Source1,5/10/2015,2015,5,Q2,SPN,Name1591,SPN,,BRANCH1,USA,BROKER16,Yes,A,Yes,Yes,Yes,No,Industry63,LOB1,Yes,Source1,P2,,L115,39100,0,0,0,0,0,0,1,0
1592,Name1592Source2,5/11/2015,2015,5,Q2,ITA,Name1592,ITA,PRODUCT1273,BRANCH2,GB,BROKER17,No,B,Yes,No,No,No,Industry64,LOB2,No,Source2,P3,,,39200,0,0,0,0,0,0,1,0
1593,Name1593Source3,5/12/2015,2015,5,Q2,GER,Name1593,GER,PRODUCT1274,BRANCH3,SGP,BROKER18,No,B,No,No,Yes,No,Industry65,LOB3,No,Source3,P4,,,39300,0,0,0,0,0,0,1,0
1594,Name1594Source1,5/13/2015,2015,5,Q2,AUS,Name1594,AUS,PRODUCT1275,BRANCH1,USA,BROKER19,Yes,A,Yes,No,Yes,No,Industry66,LOB4,Yes,Source1,P5,,,39400,0,0,0,0,0,0,1,0
1595,Name1595Source2,5/14/2015,2015,5,Q2,UAE,Name1595,UAE,PRODUCT1276,BRANCH2,GB,BROKER20,No,B,Yes,No,Yes,No,Industry67,LOB5,No,Source2,P6,,,39500,0,0,0,0,0,0,1,0
1596,Name1596Source3,5/15/2015,2015,5,Q2,SGP,Name1596,SGP,,BRANCH3,SGP,BROKER21,No,B,No,Yes,No,Yes,Industry68,LOB6,No,Source3,P7,,,39600,800,1,1,0,0.02020202,0,1,0
1597,Name1597Source1,5/16/2015,2015,5,Q2,MEX,Name1597,MEX,PRODUCT1277,BRANCH1,USA,BROKER22,Yes,A,Yes,No,Yes,No,Industry69,LOB1,Yes,Source1,P1,L115,,39700,900,1,1,0,0.022670025,0,1,0
1598,Name1598Source2,5/17/2015,2015,5,Q2,CAN,Name1598,CAN,PRODUCT1278,BRANCH2,GB,BROKER23,No,B,Yes,No,Yes,No,Industry70,LOB2,No,Source2,P2,,L116,39800,1200,5,1,1,0.030150754,0,1,0
1599,Name1599Source3,5/18/2015,2015,5,Q2,FRA,Name1599,FRA,PRODUCT1279,BRANCH3,SGP,BROKER24,No,B,No,No,Yes,No,Industry71,LOB3,No,Source3,P3,,,39900,40000,10,1,1,1.002506266,0,1,0
1600,Name1600Source1,5/19/2015,2015,5,Q2,USA,Name1600,USA,PRODUCT1280,BRANCH1,USA,BROKER25,Yes,A,Yes,No,No,No,Industry72,LOB4,Yes,Source1,P4,,,40000,0,0,0,0,0,0,1,0
1601,Name1601Source2,5/20/2015,2015,5,Q2,GB,Name1601,GB,,BRANCH2,GB,BROKER1,No,B,Yes,Yes,Yes,No,Industry73,LOB5,No,Source2,P5,,,40100,0,0,0,0,0,0,1,0
1602,Name1602Source3,5/21/2015,2015,5,Q2,CHN,Name1602,CHN,PRODUCT1281,BRANCH3,SGP,BROKER2,No,B,No,No,Yes,Yes,Industry74,LOB6,No,Source3,P6,,,40200,0,0,0,0,0,0,1,0
1603,Name1603Source1,5/22/2015,2015,5,Q2,IRE,Name1603,IRE,PRODUCT1282,BRANCH1,USA,BROKER3,Yes,A,Yes,No,Yes,No,Industry75,LOB1,Yes,Source1,P7,,,40300,0,0,0,0,0,0,1,0
1604,Name1604Source2,5/23/2015,2015,5,Q2,SPN,Name1604,SPN,PRODUCT1283,BRANCH2,GB,BROKER4,No,B,Yes,No,No,No,Industry76,LOB2,No,Source2,P1,L115,,40400,0,0,0,0,0,0,1,0
1605,Name1605Source3,5/24/2015,2015,5,Q2,ITA,Name1605,ITA,PRODUCT1284,BRANCH3,SGP,BROKER5,No,B,No,No,Yes,No,Industry77,LOB3,No,Source3,P2,,L116,40500,0,0,0,0,0,0,1,0
1606,Name1606Source1,5/25/2015,2015,5,Q2,GER,Name1606,GER,,BRANCH1,USA,BROKER6,Yes,A,Yes,Yes,Yes,No,Industry78,LOB4,Yes,Source1,P3,,,40600,0,0,0,0,0,0,1,0
1607,Name1607Source2,5/26/2015,2015,5,Q2,AUS,Name1607,AUS,PRODUCT1285,BRANCH2,GB,BROKER7,No,B,Yes,No,Yes,No,Industry79,LOB5,No,Source2,P4,,,40700,0,0,0,0,0,0,1,0
1608,Name1608Source3,5/27/2015,2015,5,Q2,UAE,Name1608,UAE,PRODUCT1286,BRANCH3,SGP,BROKER8,No,B,No,No,No,Yes,Industry80,LOB6,No,Source3,P5,,,40800,0,0,0,0,0,0,1,0
1609,Name1609Source1,5/28/2015,2015,5,Q2,SGP,Name1609,SGP,PRODUCT1287,BRANCH1,USA,BROKER9,Yes,A,Yes,No,Yes,No,Industry81,LOB1,Yes,Source1,P6,,,40900,800,1,1,0,0.019559902,0,1,0
1610,Name1610Source2,5/29/2015,2015,5,Q2,MEX,Name1610,MEX,PRODUCT1288,BRANCH2,GB,BROKER10,No,B,Yes,No,Yes,No,Industry82,LOB2,No,Source2,P7,,,41000,900,1,1,0,0.02195122,0,1,0
1611,Name1611Source3,5/30/2015,2015,5,Q2,CAN,Name1611,CAN,,BRANCH3,SGP,BROKER11,No,B,No,Yes,Yes,No,Industry83,LOB3,No,Source3,P1,L116,,41100,1200,5,1,1,0.02919708,0,1,0
1612,Name1612Source1,5/31/2015,2015,5,Q2,FRA,Name1612,FRA,PRODUCT1289,BRANCH1,USA,BROKER12,Yes,A,Yes,No,No,No,Industry84,LOB4,Yes,Source1,P2,,L117,41200,40000,10,1,1,0.970873786,0,1,0
1613,Name1613Source2,6/1/2015,2015,6,Q2,USA,Name1613,USA,PRODUCT1290,BRANCH2,GB,BROKER13,No,B,Yes,No,Yes,No,Industry85,LOB5,No,Source2,P3,,,41300,0,0,0,0,0,0,1,0
1614,Name1614Source3,6/2/2015,2015,6,Q2,GB,Name1614,GB,PRODUCT1291,BRANCH3,SGP,BROKER14,No,B,No,No,Yes,Yes,Industry86,LOB6,No,Source3,P4,,,41400,0,0,0,0,0,0,1,0
1615,Name1615Source1,6/3/2015,2015,6,Q2,CHN,Name1615,CHN,PRODUCT1292,BRANCH1,USA,BROKER15,Yes,A,Yes,No,Yes,No,Industry87,LOB1,Yes,Source1,P5,,,41500,0,0,0,0,0,0,1,0
1616,Name1616Source2,6/4/2015,2015,6,Q2,IRE,Name1616,IRE,,BRANCH2,GB,BROKER16,No,B,Yes,Yes,No,No,Industry88,LOB2,No,Source2,P6,,,41600,0,0,0,0,0,0,1,0
1617,Name1617Source3,6/5/2015,2015,6,Q2,SPN,Name1617,SPN,PRODUCT1293,BRANCH3,SGP,BROKER17,No,B,No,No,Yes,No,Industry89,LOB3,No,Source3,P7,,,41700,0,0,0,0,0,0,1,0
1618,Name1618Source1,6/6/2015,2015,6,Q2,ITA,Name1618,ITA,PRODUCT1294,BRANCH1,USA,BROKER18,Yes,A,Yes,No,Yes,No,Industry90,LOB4,Yes,Source1,P1,L116,,41800,0,0,0,0,0,0,1,0
1619,Name1619Source2,6/7/2015,2015,6,Q2,GER,Name1619,GER,PRODUCT1295,BRANCH2,GB,BROKER19,No,B,Yes,No,Yes,No,Industry91,LOB5,No,Source2,P2,,L117,41900,0,0,0,0,0,0,1,0
1620,Name1620Source3,6/8/2015,2015,6,Q2,AUS,Name1620,AUS,PRODUCT1296,BRANCH3,SGP,BROKER20,No,B,No,No,No,Yes,Industry92,LOB6,No,Source3,P3,,,42000,0,0,0,0,0,0,1,0
1621,Name1621Source1,6/9/2015,2015,6,Q2,UAE,Name1621,UAE,,BRANCH1,USA,BROKER21,Yes,A,Yes,Yes,Yes,No,Industry93,LOB1,Yes,Source1,P4,,,42100,0,0,0,0,0,0,1,0
